GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,com.menteMaestra.backend.exception,WebSocketBroadcastException,4,5,0,0,2,2,1,1,1,1
backend,com.menteMaestra.backend.config,WebSocketConfig,0,40,0,0,0,8,0,3,0,3
backend,com.menteMaestra.backend.config,CargaInicial,0,69,0,2,0,17,0,6,0,5
backend,com.menteMaestra.backend.config,CargaInicial.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
backend,com.menteMaestra.backend.config,WebSocketLlamadaConfig,0,23,0,0,0,4,0,2,0,2
backend,com.menteMaestra.backend.webSocket,LlamadaHandler,2,238,2,28,1,47,3,20,1,7
backend,com.menteMaestra.backend.service,PreguntaService,0,101,0,6,0,28,0,8,0,5
backend,com.menteMaestra.backend.controller,CodigoController,121,688,13,35,26,116,14,26,2,14
backend,com.menteMaestra.backend,MenteMaestraApplication.new WebMvcConfigurer() {...},0,44,0,0,0,6,0,2,0,2
backend,com.menteMaestra.backend,MenteMaestraApplication,5,8,0,0,2,2,1,2,1,2
backend,com.menteMaestra.backend.model,Opcion,0,17,0,0,0,7,0,5,0,5
backend,com.menteMaestra.backend.model,Pregunta,9,24,0,0,4,10,1,7,1,7
